arm,threshold_fold,n_outer_predictions,mean_removed_training_percent,pooled_R2,fold_mean_R2,fold_sd_R2,pooled_RMSE,fold_mean_RMSE,fold_sd_RMSE,pooled_MAE,fold_mean_MAE,fold_sd_MAE,pooled_median_fold_error,pooled_within_2_fold_percent,pooled_within_5_fold_percent,pooled_within_10_fold_percent
no_filter,,34959,0.0,0.5444245017353992,0.5438074177944578,0.0359855766465137,0.4498271799954373,0.449418923419069,0.021400715511522922,0.313586013868799,0.3135855255411091,0.015270909750359406,1.6582380543167665,62.18427300552075,90.2142509797191,96.06682113332762
filter_10fold,10.0,34959,2.909836926554253,0.5120648393955964,0.5117703267981383,0.04289922868843822,0.46552881859879097,0.46494536367487516,0.02602791300139054,0.31697036457762007,0.3169697612605237,0.01607141690707046,1.649441581602876,62.5961841013759,90.19136702994936,95.65777053119369
filter_20fold,20.0,34959,1.3465776650054793,0.5251737087026942,0.52470371038927,0.03879933812797095,0.4592327932448347,0.45875146416722423,0.02347914802351998,0.31490329778666526,0.3149027652606943,0.01536144155804958,1.647410574988611,62.601905088818334,90.32867072856774,95.8007952172545
filter_30fold,30.0,34959,0.8774565616685045,0.5284355761429784,0.5280694771442388,0.0376672934777519,0.45765270175786843,0.45716041406192565,0.023704005901449655,0.31426430764548446,0.31426374710911664,0.015439430483371578,1.6520044952128323,62.51036928973941,90.42878800881033,95.9609828656426
