model,n,R2,RMSE,MAE,median_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,SSE,SST
single,1068,0.7432370872546603,0.47096741953398996,0.24287836326790732,1.1883303321524,78.37078651685393,90.0749063670412,94.19475655430712,236.89341136035569,922.6153762919382
bagging,1068,0.7440083591104456,0.4702595347719388,0.24453985924411747,1.2035698578941294,78.18352059925093,89.7940074906367,94.3820224719101,236.18182408690691,922.6153762919382
