fold,n,R2,RMSE,MAE,median_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,SSE,SST
1,6992,0.6438321977505377,0.3992471885068875,0.26567207964809303,1.4976057747628388,69.8512585812357,92.691647597254,97.1824942791762,1114.513036174334,3129.1796426722526
2,6992,0.6696905252736749,0.38617324535560793,0.2587386028014678,1.4819826655101802,70.48054919908466,93.27803203661327,97.36842105263158,1042.7153897959502,3156.7831672400025
3,6992,0.6495237092591939,0.38568636791254973,0.25998793842610085,1.484329451297497,70.62356979405034,92.89187643020595,97.15389016018307,1040.0877889598742,2967.6409401658175
4,6992,0.6645546485318248,0.3899839140626504,0.2632382959139578,1.4961497462820645,69.42219679633868,92.79176201372998,97.38272311212815,1063.395472967552,3170.1004897319017
5,6991,0.642345745717987,0.39829157122625275,0.2676401140898435,1.5048762868798025,69.63238449434988,92.46173651838077,96.95322557574025,1109.0255043877512,3100.8312947768723
