AD_rule,region,n,R2,RMSE,MAE,median_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,SSE,SST
in_AD_S0.50_N1,inside,934,0.8268692477488215,0.37659269963183994,0.18912054569806847,1.1691126321529426,83.72591006423983,92.93361884368309,96.57387580299786,132.46180536254138,765.0969203343236
in_AD_S0.50_N1,outside,134,0.3411667318952907,0.8797897421999984,0.6308207461994144,2.6482520786010326,39.55223880597015,67.91044776119402,79.1044776119403,103.7200187243655,157.42984415881247
in_AD_S0.50_N3,inside,609,0.8549026153581051,0.3561959181694569,0.1799958703882668,1.1859181245851262,84.72906403940887,93.76026272577997,97.04433497536947,77.26719906143471,532.5195850506379
in_AD_S0.50_N3,outside,459,0.5886986587167651,0.5884039655160522,0.3301766549156056,1.2402491807975822,69.49891067538127,84.53159041394336,90.84967320261438,158.9146250254722,386.3703058435656
in_AD_S0.50_N5,inside,458,0.8557992272028085,0.36014706052172946,0.17620569140811923,1.1794639283575894,86.02620087336244,93.88646288209607,96.94323144104804,59.40530458271856,411.9624564444468
in_AD_S0.50_N5,outside,610,0.6500531728034336,0.5383284991133999,0.2958464967340965,1.2336801306640555,72.29508196721312,86.72131147540983,92.45901639344262,176.77651950418831,505.15251394147447
in_AD_S0.50_N10,inside,231,0.7991437825477826,0.42031704565307637,0.2107008163305239,1.224474776990929,83.54978354978356,93.07359307359307,96.1038961038961,40.809942758168496,203.17988298209866
in_AD_S0.50_N10,outside,837,0.7273697099432572,0.48313477732102367,0.25387894994070065,1.1978003152581729,76.70250896057348,88.88888888888889,93.9068100358423,195.3718813287384,716.6183966135072
in_AD_S0.50_N20,inside,73,0.795753727122784,0.45517187034492307,0.2507554460783502,1.2396462085967979,76.71232876712328,89.04109589041096,94.52054794520548,15.12424450339057,74.04905994285932
in_AD_S0.50_N20,outside,995,0.7367803981719476,0.47134745325712346,0.2440838413155758,1.20000425156098,78.29145728643216,89.84924623115577,94.37185929648241,221.05757958351631,839.821875150171
in_AD_S0.55_N1,inside,879,0.8358066236821384,0.36755172100613154,0.17712039690814832,1.1585249166015137,85.55176336746302,93.51535836177474,96.70079635949944,118.74786123320627,723.2195591332656
in_AD_S0.55_N1,outside,189,0.40701710664261903,0.7882535878780691,0.5580938666161644,2.3962065878884413,43.91534391534391,72.4867724867725,83.5978835978836,117.4339628537006,198.03937713752075
in_AD_S0.55_N3,inside,510,0.8639890814532153,0.35273265904892226,0.1696499217033262,1.1720891769420145,86.86274509803921,94.31372549019608,97.05882352941177,63.45436766745886,466.53877751462994
in_AD_S0.55_N3,outside,558,0.6124914203339293,0.5563698526502663,0.31298765162010955,1.2524449061258704,70.25089605734766,85.66308243727599,91.93548387096774,172.72745641944806,445.73840550393277
in_AD_S0.55_N5,inside,337,0.85503224071385,0.38516071456286005,0.18408866497759613,1.1878562289576613,86.64688427299704,94.06528189910979,96.43916913946587,49.99353752634708,344.85969689070976
in_AD_S0.55_N5,outside,731,0.6696558220648909,0.5046816208131011,0.2724086040701335,1.2181673905224844,74.28180574555402,87.82489740082079,93.43365253077975,186.18828656055982,563.6190948615223
in_AD_S0.55_N10,inside,133,0.7691054745650883,0.48638561517170553,0.24418979901744103,1.2300265393053176,80.45112781954887,90.97744360902256,93.98496240601504,31.46393856391247,136.26974699658712
in_AD_S0.55_N10,outside,935,0.7365820042790385,0.4679205169524209,0.24458965390737736,1.20000425156098,77.86096256684492,89.62566844919786,94.43850267379679,204.71788552299444,777.1598328454825
in_AD_S0.55_N20,inside,46,0.7620120419706886,0.5154882387183499,0.2960195101645099,1.3122560573500728,71.73913043478261,86.95652173913044,93.47826086956522,12.22349371581954,51.3618160222798
in_AD_S0.55_N20,outside,1022,0.7379016085696257,0.4681210415701807,0.24222277123791588,1.197948134357461,78.47358121330724,89.92172211350294,94.42270058708415,223.95833037108738,854.4818957066409
in_AD_S0.60_N1,inside,825,0.8559617390112322,0.34762889410997905,0.16179216289964518,1.1457384116367424,87.63636363636364,94.18181818181817,96.96969696969697,99.6978246166048,692.1620959057487
in_AD_S0.60_N1,outside,243,0.40032921068467886,0.7494414915525444,0.5254733962160915,2.247197471335081,46.09053497942387,74.8971193415638,85.59670781893004,136.48399947030208,227.59821205587446
in_AD_S0.60_N3,inside,418,0.8669074031918516,0.3572961596011707,0.16948180999838963,1.1727796562911812,87.5598086124402,94.01913875598086,96.88995215311004,53.36210808828152,400.93971691905915
in_AD_S0.60_N3,outside,650,0.6356165480443156,0.5303405524154708,0.29280795860521636,1.235014209565072,72.15384615384616,87.07692307692308,92.76923076923077,182.81971599862538,501.7234317788381
in_AD_S0.60_N5,inside,242,0.8692955966331796,0.3848577201711673,0.18313761634560768,1.2004137853250072,87.60330578512396,94.21487603305785,96.28099173553719,35.84394247563434,274.23668638797665
in_AD_S0.60_N5,outside,826,0.6777161224578163,0.4924833075811735,0.2625293783499763,1.2065894920007856,75.42372881355932,88.49878934624698,93.82566585956417,200.33788161127256,621.6193100911489
in_AD_S0.60_N10,inside,81,0.7248269572004165,0.5493347931081078,0.2844522788776782,1.275219096780968,75.30864197530865,88.88888888888889,92.5925925925926,24.443265908449334,88.82870814584868
in_AD_S0.60_N10,outside,987,0.7412017359641061,0.4631710424539076,0.24126437191856692,1.1978003152581729,78.419452887538,89.86828774062816,94.52887537993921,211.73855817845757,818.1606587171334
in_AD_S0.60_N20,inside,25,0.9341964895234309,0.2569156990825076,0.16757485178578604,1.2832673545415805,80.0,96.0,100.0,1.6501419108763402,25.076806676809646
in_AD_S0.60_N20,outside,1043,0.7338524519933667,0.47419678486130645,0.24638465808060675,1.2008233190890345,78.13998082454458,89.64525407478428,94.24736337488015,234.53168217603053,881.2092537864946
in_AD_S0.65_N1,inside,775,0.8808500100391058,0.315475835875414,0.14023914980686394,1.1329576384461841,90.19354838709678,95.48387096774194,97.54838709677419,77.13187734150064,647.3511023107582
in_AD_S0.65_N1,outside,293,0.4102467120131523,0.7367717304218634,0.5204205753324161,2.2303990518717045,46.41638225255973,74.74402730375427,86.00682593856655,159.0499467454063,269.6889529659618
in_AD_S0.65_N3,inside,298,0.8909058672251572,0.335750065407945,0.15387660593863225,1.1692392373306575,89.59731543624162,95.30201342281879,97.6510067114094,33.59297571358893,307.926511345214
in_AD_S0.65_N3,outside,770,0.6501603252020203,0.512935084084554,0.2796277157181884,1.229582417409371,73.76623376623377,87.66233766233766,93.11688311688312,202.58884837331792,579.0905462346601
in_AD_S0.65_N5,inside,157,0.9304810713741516,0.29355917742368853,0.15203251733387138,1.1970348109646085,89.171974522293,96.17834394904459,97.45222929936305,13.529787531998604,194.62019624634968
in_AD_S0.65_N5,outside,911,0.6772440066542067,0.49437232105727896,0.2604823978609217,1.2067033319027678,76.28979143798024,88.69374313940725,93.85290889132821,222.65203655490834,689.8463270869895
in_AD_S0.65_N10,inside,44,0.858550101708887,0.39230304060616294,0.2242683438056984,1.2704939628090384,77.27272727272727,93.18181818181817,93.18181818181817,6.771673729428992,47.87330221682062
in_AD_S0.65_N10,outside,1024,0.7295578730281099,0.47332161366081144,0.24541090092311207,1.1990413316893687,78.22265625,89.6484375,94.43359375,229.41015035747785,848.2781618609399
in_AD_S0.65_N20,inside,15,0.967524203477446,0.18308401979302608,0.13740057332709957,1.2917153846226286,86.66666666666667,100.0,100.0,0.5027963745535975,15.48218761022266
in_AD_S0.65_N20,outside,1053,0.7342308168494058,0.47309273981701727,0.24606605989820607,1.2008233190890345,78.06267806267806,89.64862298195632,94.30199430199431,235.67902771235333,886.7808709740784
in_AD_S0.70_N1,inside,733,0.9135577491208156,0.2699712894267899,0.11988107853381515,1.1250789171558773,92.2237380627558,96.58935879945429,98.22646657571623,53.42433638512167,618.034998415184
in_AD_S0.70_N1,outside,335,0.3883907668897304,0.7386100049473431,0.5173007137535253,2.168308796301658,47.462686567164184,74.92537313432835,85.97014925373134,182.75748770178524,298.8141411345161
in_AD_S0.70_N3,inside,212,0.9379564358005249,0.2626816091640396,0.13168312297620524,1.1634956261552754,91.50943396226415,96.69811320754717,98.11320754716981,14.628345092117963,235.77538268250748
in_AD_S0.70_N3,outside,856,0.6521354305718933,0.5087476365588274,0.27249035934785276,1.219009470122049,74.88317757009347,88.08411214953271,93.45794392523365,221.55347899478895,636.8957878033551
in_AD_S0.70_N5,inside,103,0.9146802613472214,0.32572656434711433,0.16298903352720528,1.2008233190890345,88.3495145631068,96.11650485436894,96.11650485436894,10.928072856301608,128.08375914950963
in_AD_S0.70_N5,outside,965,0.7023241754906115,0.4831392929629843,0.25324424789576716,1.2039960135745154,77.09844559585493,89.11917098445595,94.19689119170984,225.2537512306053,756.708246636606
in_AD_S0.70_N10,inside,27,0.8627286584115943,0.38312076826864444,0.21907209194029478,1.2396462085967979,74.07407407407408,92.5925925925926,92.5925925925926,3.963101123126422,28.870564513089562
in_AD_S0.70_N10,outside,1041,0.7363272075547866,0.4723057702370496,0.24520040652289096,1.201722496462157,78.29010566762729,89.72142170989433,94.42843419788665,232.21872296378044,880.7079441540466
in_AD_S0.70_N20,inside,5,0.9845486546808337,0.13285975772455444,0.12246807954478652,1.412002296410894,100.0,100.0,100.0,0.08825857611313652,5.712031819239598
in_AD_S0.70_N20,outside,1063,0.7387435635311195,0.47127612978883504,0.24511404447318302,1.201722496462157,78.08090310442145,89.74600188146754,94.35559736594544,236.09356551079372,903.6851635190852
in_AD_S0.75_N1,inside,704,0.9466802941173705,0.21121935355565916,0.09968601235071216,1.1212455221676783,93.89204545454545,97.86931818181817,99.14772727272727,31.407985182795258,589.0502331714351
in_AD_S0.75_N1,outside,364,0.3788412350566265,0.7500436597257604,0.5246967499390552,2.128596431876278,47.8021978021978,74.17582417582418,85.16483516483517,204.77383890411167,329.66425085023053
in_AD_S0.75_N3,inside,139,0.9607491797746375,0.21882297426308053,0.11742775395518364,1.1634494426543425,92.80575539568345,98.56115107913669,98.56115107913669,6.655805675082372,169.5711232750652
in_AD_S0.75_N3,outside,929,0.6662653742413043,0.4970591862883674,0.26355878565441004,1.2143807354454141,75.99569429494079,88.48223896663079,93.75672766415501,229.5260184118245,687.7500885322625
in_AD_S0.75_N5,inside,49,0.9296260974805098,0.31000493458889955,0.17237300943114495,1.2577957040697503,87.75510204081633,95.91836734693877,95.91836734693877,4.709049914003926,66.91471902811908
in_AD_S0.75_N5,outside,1019,0.7147511268675943,0.47660968838939577,0.24801010030480017,1.198095953456749,77.72325809617271,89.49950932286555,94.3081452404318,231.472774172903,811.4765595075951
in_AD_S0.75_N10,inside,10,0.9907605997947856,0.10673295560048161,0.09308280037778838,1.2656807966097132,100.0,100.0,100.0,0.1139192381121438,12.329722231087153
in_AD_S0.75_N10,outside,1058,0.7363064440473523,0.47236274633939496,0.24597140044323212,1.2024330993379502,77.9773156899811,89.69754253308129,94.3289224952741,236.06790484879474,895.2357747080716
in_AD_S0.75_N20,inside,0,,,,,,,,,
in_AD_S0.75_N20,outside,1068,0.7440083591104456,0.4702595347719388,0.24453985924411747,1.2035698578941294,78.18352059925093,89.7940074906367,94.3820224719101,236.18182408690694,922.6153762919382
in_AD_S0.80_N1,inside,673,0.9630101308723561,0.1780242822972839,0.08612458805515535,1.1160250821096684,95.54234769687965,98.6627043090639,99.40564635958395,21.32915014386262,576.6214005856682
in_AD_S0.80_N1,outside,395,0.3711587187895131,0.7375166575128814,0.5144473972445517,2.054398138963157,48.60759493670886,74.68354430379746,85.82278481012658,214.8526739430443,341.664391894667
in_AD_S0.80_N3,inside,63,0.9411474168184265,0.2885920999644344,0.1545221408346493,1.2339603902608043,88.88888888888889,96.82539682539682,96.82539682539682,5.246980210198572,89.1546288462897
in_AD_S0.80_N3,outside,1005,0.7020477914018284,0.4793599006020241,0.2501827609951588,1.20000425156098,77.51243781094527,89.35323383084577,94.22885572139303,230.93484387670836,775.0734420235658
in_AD_S0.80_N5,inside,20,0.9142796454638953,0.31169260976016566,0.17426495863528524,1.2234326283609753,85.0,95.0,95.0,1.9430456595820584,22.66726112015395
in_AD_S0.80_N5,outside,1048,0.7339597568514776,0.4727687434242007,0.24588098330153793,1.2012729077755957,78.05343511450383,89.69465648854961,94.37022900763358,234.23877842732486,880.4637059986308
in_AD_S0.80_N10,inside,3,0.9870974330114225,0.11987796892883568,0.10732404601933625,1.3327967300775172,100.0,100.0,100.0,0.043112182303508675,3.3413647332097023
in_AD_S0.80_N10,outside,1065,0.7420818675603655,0.4708784238540462,0.24492638266165206,1.2031437022137434,78.12206572769954,89.76525821596243,94.36619718309859,236.1387119046034,915.5568461626926
in_AD_S0.80_N20,inside,0,,,,,,,,,
in_AD_S0.80_N20,outside,1068,0.7440083591104456,0.4702595347719388,0.24453985924411747,1.2035698578941294,78.18352059925093,89.7940074906367,94.3820224719101,236.18182408690694,922.6153762919382
in_AD_S0.85_N1,inside,658,0.9720339912594707,0.1554363425520534,0.07893191265408002,1.1114292707083826,96.35258358662614,99.24012158054711,99.54407294832826,15.897580433561213,568.4608261786705
