subset,n,R2,RMSE,MAE,median_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,SSE,SST
all_pubchem_only,1068,0.74400835911044561,0.47025953477193877,0.24453985924411747,1.2035698578941294,78.183520599250926,89.794007490636702,94.382022471910105,236.18182408690689,922.61537629193822
fingerprint_identical,641,0.97943445277212637,0.12995154144690982,0.070895679113378809,1.1074550392687428,97.191887675507019,99.68798751950078,99.84399375975039,10.824825402758297,526.35727524365734
fingerprint_nonidentical,427,0.42896111636665291,0.72647652873391899,0.50520945986192423,2.0147619295627268,49.648711943793913,74.941451990632331,86.182669789227162,225.35699868414855,394.6438765260088
in_domain,733,0.91355774912081555,0.26997128942678988,0.11988107853381515,1.1250789171558773,92.2237380627558,96.589358799454288,98.226466575716231,53.424336385121677,618.03499841518396
similarity_ge_0p70_lt_1,92,0.52684776386962362,0.68046907560283443,0.46118152449576849,1.6912611903552435,57.608695652173914,75,86.956521739130437,42.599510982363391,90.033413623401245
out_of_domain,335,0.38839076688973062,0.73861000494734297,0.51730071375352527,2.1683087963016581,47.462686567164184,74.925373134328353,85.970149253731336,182.75748770178518,298.81414113451609
