arm,completed_outer_folds,complete,n,R2,RMSE,MAE,median_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,observed_y_std_ddof0,SSE,SST,fold_mean_R2,fold_sd_R2,fold_mean_RMSE,fold_sd_RMSE,fold_mean_MAE,fold_sd_MAE,fold_mean_within_2_fold_percent,fold_sd_within_2_fold_percent,mean_removed_training_percent
no_filter,5,True,34959,0.65265925853823226,0.3927745841203133,0.26379438873626926,1.4915577953500754,69.796046797677278,92.725764466946998,97.185274178323183,0.66644684133349796,5393.1904407498114,15527.088524233624,0.65247433760554385,0.012554778608495978,0.39273177186589303,0.0064992643514123604,0.26379454339121061,0.0037504208047793677,69.796030659884053,0.48018501559720927,0
filter_10fold,5,True,34959,0.62219856586700595,0.40963524383522637,0.26737220348118129,1.4816420828885197,70.319517148659855,92.456878057152664,96.756200120140733,0.66644684133349796,5866.1563123654178,15527.088524233624,0.62204919885171406,0.0076549649238603851,0.409613507085134,0.0047223213700179137,0.26737229268768586,0.0026478060203947076,70.319505676962237,0.40739522068457168,2.9842101417500961
filter_20fold,5,True,34959,0.63096776153989809,0.40485328518399599,0.26577961842759001,1.4833143825255874,70.30521468005378,92.691438542292403,96.94785319946223,0.66644684133349796,5729.9962348660947,15527.088524233624,0.63071241291855551,0.012312147548676081,0.40483319272341706,0.0045083112445406127,0.26577969792978623,0.0024435006966646764,70.305206072403649,0.4190131339263633,1.3809034260221202
filter_30fold,5,True,34959,0.63937777027985399,0.40021352480016292,0.26444095831451614,1.4855273451343631,70.250865299350679,92.814439772304695,97.047970479704787,0.66644684133349796,5599.41328467122,15527.088524233624,0.63916000231573056,0.011336405891692295,0.40018991314759067,0.0048551814470571232,0.26444103623621934,0.0028589007136767884,70.250845562470488,0.42204985573690817,0.89891036686012493
