arm,threshold_fold,n_initial_development,n_removed,n_evaluation_cohort,removed_percent,evaluation_cv_folds,screening_scope,validation_fold_used_for_early_stopping,nested_screening,folds_completed,complete,evaluation_role,n_predicted,pooled_R2,fold_mean_R2,fold_sd_R2,pooled_RMSE,fold_mean_RMSE,fold_sd_RMSE,pooled_MAE,fold_mean_MAE,fold_sd_MAE,pooled_median_fold_error,fold_mean_median_fold_error,fold_sd_median_fold_error,pooled_within_2_fold_percent,fold_mean_within_2_fold_percent,fold_sd_within_2_fold_percent
no_filter,,34959,0,34959,0.0,5,whole_development_pool_before_CV,True,False,5,True,post_selection_internal_CV,34959,0.6541697315691386,0.6539893653066435,0.012418088095202994,0.39191962853516416,0.39187645741278965,0.0065174173992369544,0.2630552750306106,0.2630554061758926,0.0037397902729333866,1.4927835065220836,1.4929887849464767,0.009601298063734266,70.00200234560485,70.00199177301184,0.5269887799578697
filter_5fold,5.0,34959,2509,32450,7.176978746531651,5,whole_development_pool_before_CV,True,False,5,True,post_selection_internal_CV,32450,0.7754574043937085,0.7753300214581332,0.005773236682990962,0.2763719764011989,0.276369647913678,0.001268390700121374,0.2044070815177796,0.20440708151777956,0.001357480766100562,1.4193824900613945,1.4196284017021976,0.009963766976260106,76.10785824345146,76.10785824345146,0.45154529468278337
filter_10fold,10.0,34959,976,33983,2.791841871907091,5,whole_development_pool_before_CV,True,False,5,True,post_selection_internal_CV,33983,0.7323479157668298,0.7322067670114777,0.006608258310962585,0.3191233096011198,0.3190943301099638,0.004822349280050578,0.23095683417678536,0.230956948079888,0.0030219816918333384,1.461113051027414,1.461471245972259,0.008815888946702303,72.40679163110967,72.40678274171958,0.5374052156090193
filter_20fold,20.0,34959,448,34511,1.2815011871048942,5,whole_development_pool_before_CV,True,False,5,True,post_selection_internal_CV,34511,0.7096188508585121,0.7095581248457843,0.006925194921639336,0.34166589721130447,0.34165517898859643,0.003017981928884236,0.24338989389471863,0.2433898422530502,0.0025846719670078147,1.475940901848281,1.475224212594644,0.0057420820750031685,71.27872272608732,71.27873085723672,0.7249309520653129
filter_30fold,30.0,34959,290,34669,0.8295431791527218,5,whole_development_pool_before_CV,True,False,5,True,post_selection_internal_CV,34669,0.6980536523201233,0.6978697729134354,0.009327698694577124,0.3527421041596236,0.35271993658151957,0.00444289911328789,0.2489092384641791,0.24890934070129042,0.00222325316256893,1.4838330003055595,1.4836741474578634,0.0060831387832525,70.72600882632901,70.72599283654073,0.32931228134766183
