fingerprint_mode,include_chirality,similarity_threshold_S,min_neighbors_N,coverage_percent,n_in_AD,n_out_AD,AD_in_R2,AD_in_RMSE,AD_in_MAE,AD_in_median_fold_error,AD_in_mean_fold_error,AD_in_within_2_fold_percent,AD_in_within_5_fold_percent,AD_in_within_10_fold_percent,AD_out_R2,AD_out_RMSE,AD_out_MAE,AD_out_median_fold_error,AD_out_mean_fold_error,AD_out_within_2_fold_percent,AD_out_within_5_fold_percent,AD_out_within_10_fold_percent
achiral,False,0.5,1,87.45318352059925,934,134,0.8268692477488216,0.3765926996318399,0.18912054569806847,1.1691126317285028,3.683449435797665,83.72591006423983,92.93361884368309,96.57387580299786,0.3411667318952907,0.8797897421999984,0.6308207461994144,2.6482520913682834,18.96690010890648,39.55223880597015,67.91044776119402,79.1044776119403
achiral,False,0.5,3,57.02247191011236,609,459,0.854902615358105,0.35619591816945695,0.1799958703882668,1.1859181890306063,3.725956420946237,84.72906403940887,93.76026272577997,97.04433497536947,0.5886986587167653,0.5884039655160522,0.3301766549156056,1.240249101613823,8.088886551791349,69.49891067538127,84.53159041394336,90.84967320261438
achiral,False,0.5,5,42.88389513108614,458,610,0.8557992272028085,0.36014706052172946,0.17620569140811923,1.1794639125804984,4.157919745363947,86.02620087336244,93.88646288209607,96.94323144104804,0.6500531728034336,0.5383284991133999,0.2958464967340965,1.233680233184878,6.684555974183278,72.29508196721312,86.72131147540983,92.45901639344262
achiral,False,0.5,10,21.629213483146067,231,837,0.7991437825477826,0.42031704565307637,0.2107008163305239,1.224474808157295,6.246238265373366,83.54978354978356,93.07359307359307,96.1038961038961,0.7273697099432572,0.4831347773210236,0.25387894994070065,1.197800431311954,5.422969352840191,76.70250896057348,88.88888888888889,93.9068100358423
achiral,False,0.5,20,6.835205992509364,73,995,0.795753727122784,0.45517187034492307,0.2507554460783502,1.239646255899764,3.8992977045560884,76.71232876712328,89.04109589041096,94.52054794520548,0.7367803981719476,0.47134745325712346,0.2440838413155758,1.200004386312794,5.725887090649138,78.29145728643216,89.84924623115577,94.37185929648241
achiral,False,0.55,1,82.30337078651685,879,189,0.8358066236821384,0.36755172100613154,0.17712039690814832,1.1585248519527376,3.694152646262782,85.55176336746302,93.51535836177474,96.70079635949944,0.40701710664261914,0.788253587878069,0.5580938666161644,2.396206403735846,14.469556674939165,43.91534391534391,72.4867724867725,83.5978835978836
achiral,False,0.55,3,47.752808988764045,510,558,0.8639890814532153,0.35273265904892226,0.1696499217033262,1.1720892829382912,3.972484042992361,86.86274509803921,94.31372549019608,97.05882352941177,0.6124914203339294,0.5563698526502662,0.31298765162010955,1.2524448405197208,7.089497357889576,70.25089605734766,85.66308243727599,91.93548387096774
achiral,False,0.55,5,31.55430711610487,337,731,0.85503224071385,0.38516071456286005,0.18408866497759613,1.187856302853324,5.006727856087517,86.64688427299704,94.06528189910979,96.43916913946587,0.6696558220648909,0.5046816208131011,0.2724086040701335,1.2181674384297512,5.875019288819418,74.28180574555402,87.82489740082079,93.43365253077975
achiral,False,0.55,10,12.45318352059925,133,935,0.7691054745650883,0.4863856151717055,0.24418979901744103,1.2300265384250024,8.896944628159552,80.45112781954887,90.97744360902256,93.98496240601504,0.7365820042790385,0.4679205169524208,0.24458965390737736,1.200004386312794,5.132206151960713,77.86096256684492,89.62566844919786,94.43850267379679
achiral,False,0.55,20,4.307116104868914,46,1022,0.7620120419706885,0.51548823871835,0.2960195101645099,1.312255850431229,4.949710127583214,71.73913043478261,86.95652173913044,93.47826086956522,0.7379016085696258,0.46812104157018064,0.24222277123791588,1.1979481994080752,5.630351978238414,78.47358121330724,89.92172211350294,94.42270058708415
achiral,False,0.6,1,77.24719101123596,825,243,0.8559617390112322,0.34762889410997905,0.16179216289964518,1.1457383006229058,3.5051796718264328,87.63636363636364,94.18181818181817,96.96969696969697,0.40032921068467897,0.7494414915525442,0.5254733962160915,2.2471980308486907,12.716597359554237,46.09053497942387,74.8971193415638,85.59670781893004
achiral,False,0.6,3,39.13857677902622,418,650,0.8669074031918516,0.3572961596011707,0.16948180999838963,1.1727797909994664,4.220533309420206,87.5598086124402,94.01913875598086,96.88995215311004,0.6356165480443157,0.5303405524154707,0.29280795860521636,1.2350142139319886,6.488805329678217,72.15384615384616,87.07692307692308,92.76923076923077
achiral,False,0.6,5,22.659176029962545,242,826,0.8692955966331796,0.3848577201711673,0.18313761634560768,1.200413868287891,5.585449760106794,87.60330578512396,94.21487603305785,96.28099173553719,0.6777161224578163,0.49248330758117337,0.2625293783499763,1.2065894131990684,5.605602355547995,75.42372881355932,88.49878934624698,93.82566585956417
achiral,False,0.6,10,7.584269662921349,81,987,0.7248269572004165,0.5493347931081078,0.2844522788776782,1.2752192335288983,12.618873527357199,75.30864197530865,88.88888888888889,92.5925925925926,0.7412017359641061,0.46317104245390756,0.24126437191856692,1.197800431311954,5.025103983700663,78.419452887538,89.86828774062816,94.52887537993921
achiral,False,0.6,20,2.3408239700374533,25,1043,0.9341964895234309,0.2569156990825076,0.16757485178578604,1.2832672658187894,1.695397363974132,80.0,96.0,100.0,0.7338524519933667,0.47419678486130645,0.24638465808060675,1.200823350262988,5.694651441542794,78.13998082454458,89.64525407478428,94.24736337488015
achiral,False,0.65,1,72.56554307116106,775,293,0.8808500100391058,0.315475835875414,0.14023914980686394,1.132957368553119,3.273504294033573,90.19354838709678,95.48387096774194,97.54838709677419,0.41024671201315255,0.7367717304218633,0.5204205753324161,2.230398795315997,11.757476313148358,46.41638225255973,74.74402730375427,86.00682593856655
achiral,False,0.65,3,27.902621722846444,298,770,0.8909058672251571,0.3357500654079451,0.15387660593863225,1.1692393151625378,4.63721712059627,89.59731543624162,95.30201342281879,97.6510067114094,0.6501603252020203,0.512935084084554,0.2796277157181884,1.2295825179245512,5.974046345052986,73.76623376623377,87.66233766233766,93.11688311688312
achiral,False,0.65,5,14.700374531835205,157,911,0.9304810713741516,0.29355917742368853,0.15203251733387138,1.197034849765261,2.1642338219328954,89.171974522293,96.17834394904459,97.45222929936305,0.6772440066542068,0.49437232105727885,0.2604823978609217,1.2067032155887394,6.193327856844152,76.28979143798024,88.69374313940725,93.85290889132821
achiral,False,0.65,10,4.119850187265917,44,1024,0.858550101708887,0.39230304060616294,0.2242683438056984,1.2704938531682464,2.7697671380144477,77.27272727272727,93.18181818181817,93.18181818181817,0.7295578730281098,0.4733216136608115,0.24541090092311207,1.1990411844161533,5.722692024956887,78.22265625,89.6484375,94.43359375
achiral,False,0.65,20,1.4044943820224718,15,1053,0.967524203477446,0.18308401979302608,0.13740057332709957,1.2917151125492412,1.437270373125319,86.66666666666667,100.0,100.0,0.7342308168494058,0.4730927398170172,0.24606605989820607,1.200823350262988,5.6603488433348605,78.06267806267806,89.64862298195632,94.30199430199431
achiral,False,0.7,1,68.63295880149812,733,335,0.9135577491208156,0.2699712894267899,0.11988107853381515,1.125078964164162,2.1497102162171977,92.2237380627558,96.58935879945429,98.22646657571623,0.3883907668897306,0.738610004947343,0.5173007137535253,2.1683088817338154,13.152742684003824,47.462686567164184,74.92537313432835,85.97014925373134
achiral,False,0.7,3,19.850187265917604,212,856,0.9379564358005249,0.2626816091640396,0.13168312297620524,1.1634955719978521,1.9300729467449844,91.50943396226415,96.69811320754717,98.11320754716981,0.6521354305718934,0.5087476365588273,0.27249035934785276,1.2190095203146971,6.510199676306717,74.88317757009347,88.08411214953271,93.45794392523365
achiral,False,0.7,5,9.644194756554308,103,965,0.9146802613472214,0.32572656434711433,0.16298903352720528,1.200823350262988,2.4982408023499327,88.3495145631068,96.11650485436894,96.11650485436894,0.7023241754906118,0.4831392929629842,0.25324424789576716,1.2039962383653469,5.93221511397559,77.09844559585493,89.11917098445595,94.19689119170984
achiral,False,0.7,10,2.528089887640449,27,1041,0.8627286584115943,0.38312076826864444,0.21907209194029478,1.239646255899764,2.6118607308700326,74.07407407407408,92.5925925925926,92.5925925925926,0.7363272075547866,0.4723057702370496,0.24520040652289096,1.2017226390610896,5.6785649835686804,78.29010566762729,89.72142170989433,94.42843419788665
achiral,False,0.7,20,0.46816479400749067,5,1063,0.9845486546808337,0.13285975772455444,0.12246807954478652,1.4120022448805685,1.3346468157448519,100.0,100.0,100.0,0.7387435635311195,0.47127612978883504,0.24511404447318302,1.2017226390610896,5.621103625164405,78.08090310442145,89.74600188146754,94.35559736594544
achiral,False,0.75,1,65.91760299625467,704,364,0.9466802941173705,0.21121935355565916,0.09968601235071216,1.121245548773829,1.6508792474710843,93.89204545454545,97.86931818181817,99.14772727272727,0.3788412350566267,0.7500436597257604,0.5246967499390552,2.1285964282519503,13.240899443430893,47.8021978021978,74.17582417582418,85.16483516483517
achiral,False,0.75,3,13.01498127340824,139,929,0.9607491797746375,0.21882297426308053,0.11742775395518364,1.1634493016637857,1.6018061573578177,92.80575539568345,98.56115107913669,98.56115107913669,0.6662653742413043,0.49705918628836737,0.26355878565441004,1.214380818582869,6.199413704796287,75.99569429494079,88.48223896663079,93.75672766415501
achiral,False,0.75,5,4.588014981273409,49,1019,0.9296260974805098,0.3100049345888995,0.17237300943114495,1.2577958132421307,2.177967516076123,87.75510204081633,95.91836734693877,95.91836734693877,0.7147511268675945,0.4766096883893957,0.24801010030480017,1.1980959675041962,5.765638841355012,77.72325809617271,89.49950932286555,94.3081452404318
achiral,False,0.75,10,0.9363295880149813,10,1058,0.9907605997947856,0.10673295560048161,0.09308280037778838,1.2656806842245025,1.247974103937255,100.0,100.0,100.0,0.7363064440473523,0.47236274633939496,0.24597140044323212,1.2024331927113556,5.642180195263814,77.9773156899811,89.69754253308129,94.3289224952741
achiral,False,0.75,20,0.0,0,1068,,,,,,,,,0.7440083591104456,0.47025953477193877,0.24453985924411747,1.2035699923634842,5.601035943472366,78.18352059925093,89.7940074906367,94.3820224719101
achiral,False,0.8,1,63.014981273408246,673,395,0.9630101308723561,0.1780242822972839,0.08612458805515535,1.116025045791641,1.470592014132426,95.54234769687965,98.6627043090639,99.40564635958395,0.37115871878951323,0.7375166575128814,0.5144473972445517,2.054398170002969,12.638475853461683,48.60759493670886,74.68354430379746,85.82278481012658
achiral,False,0.8,3,5.8988764044943816,63,1005,0.9411474168184265,0.2885920999644344,0.1545221408346493,1.2339603622573203,2.0025428667512224,88.88888888888889,96.82539682539682,96.82539682539682,0.7020477914018284,0.47935990060202405,0.2501827609951588,1.200004386312794,5.82661312141608,77.51243781094527,89.35323383084577,94.22885572139303
achiral,False,0.8,5,1.8726591760299627,20,1048,0.9142796454638953,0.31169260976016566,0.17426495863528524,1.2234326694259379,2.080348310577756,85.0,95.0,95.0,0.7339597568514777,0.4727687434242007,0.24588098330153793,1.2012729946620389,5.668224638756614,78.05343511450383,89.69465648854961,94.37022900763358
achiral,False,0.8,10,0.2808988764044944,3,1065,0.9870974330114225,0.11987796892883568,0.10732404601933625,1.332796588313217,1.2898545464505566,100.0,100.0,100.0,0.7420818675603655,0.4708784238540462,0.24492638266165206,1.2031437463616217,5.613180116421724,78.12206572769954,89.76525821596243,94.36619718309859
achiral,False,0.8,20,0.0,0,1068,,,,,,,,,0.7440083591104456,0.47025953477193877,0.24453985924411747,1.2035699923634842,5.601035943472366,78.18352059925093,89.7940074906367,94.3820224719101
achiral,False,0.85,1,61.61048689138576,658,410,0.9720339912594707,0.1554363425520534,0.07893191265408002,1.1114291752276897,1.3736354478474777,96.35258358662614,99.24012158054711,99.54407294832826,0.36959776337246597,0.732992935202612,0.51032041743008,2.0385177274172226,12.385498202304506,49.02439024390244,74.63414634146342,86.09756097560975
achiral,False,0.85,3,2.9962546816479403,32,1036,0.9425814104065778,0.27715288279685385,0.16209524526207347,1.2234326694259379,1.856847524976436,84.375,96.875,96.875,0.7293783644752626,0.4749759037098248,0.24708641102734666,1.2024331927113556,5.716686550993477,77.99227799227799,89.57528957528957,94.3050193050193
achiral,False,0.85,5,0.8426966292134831,9,1059,0.9605428345966005,0.18401628674475962,0.1204989143473713,1.2129049765945554,1.40606829710818,88.88888888888889,100.0,100.0,0.7413371515108343,0.4719487917985332,0.24559403158035045,1.2031437463616217,5.636687226585944,78.09254013220018,89.70727101038716,94.3342776203966
