fingerprint_mode,include_chirality,similarity_threshold_S,min_neighbors_N,coverage_percent,n_in_AD,n_out_AD,AD_in_R2,AD_in_RMSE,AD_in_MAE,AD_in_median_fold_error,AD_in_mean_fold_error,AD_in_within_2_fold_percent,AD_in_within_5_fold_percent,AD_in_within_10_fold_percent,AD_out_R2,AD_out_RMSE,AD_out_MAE,AD_out_median_fold_error,AD_out_mean_fold_error,AD_out_within_2_fold_percent,AD_out_within_5_fold_percent,AD_out_within_10_fold_percent
achiral,False,0.65,1,72.56554307116106,775,293,0.8808500100391058,0.315475835875414,0.14023914980686394,1.132957368553119,3.273504294033573,90.19354838709678,95.48387096774194,97.54838709677419,0.41024671201315255,0.7367717304218633,0.5204205753324161,2.230398795315997,11.757476313148358,46.41638225255973,74.74402730375427,86.00682593856655
achiral,False,0.7,1,68.63295880149812,733,335,0.9135577491208156,0.2699712894267899,0.11988107853381515,1.125078964164162,2.1497102162171977,92.2237380627558,96.58935879945429,98.22646657571623,0.3883907668897306,0.738610004947343,0.5173007137535253,2.1683088817338154,13.152742684003824,47.462686567164184,74.92537313432835,85.97014925373134
achiral,False,0.75,1,65.91760299625467,704,364,0.9466802941173705,0.21121935355565916,0.09968601235071216,1.121245548773829,1.6508792474710843,93.89204545454545,97.86931818181817,99.14772727272727,0.3788412350566267,0.7500436597257604,0.5246967499390552,2.1285964282519503,13.240899443430893,47.8021978021978,74.17582417582418,85.16483516483517
achiral,False,0.7,3,19.850187265917604,212,856,0.9379564358005249,0.2626816091640396,0.13168312297620524,1.1634955719978521,1.9300729467449844,91.50943396226415,96.69811320754717,98.11320754716981,0.6521354305718934,0.5087476365588273,0.27249035934785276,1.2190095203146971,6.510199676306717,74.88317757009347,88.08411214953271,93.45794392523365
achiral,False,0.7,5,9.644194756554308,103,965,0.9146802613472214,0.32572656434711433,0.16298903352720528,1.200823350262988,2.4982408023499327,88.3495145631068,96.11650485436894,96.11650485436894,0.7023241754906118,0.4831392929629842,0.25324424789576716,1.2039962383653469,5.93221511397559,77.09844559585493,89.11917098445595,94.19689119170984
